,Name,Year of release,Rating,Genre,imdb Url,votes,MovieID,Adventure,Drama,Comedy,Animation,Sci-fi,Thriller,Action,Mystery
74,The Ballad of Buster Scruggs,(2018),7.3,"
Comedy, Drama, Musical            ",http://www.imdb.com/title/tt6412452/?ref_=adv_li_tt,"67,347",73,0,1,1,0,0,0,0,0
76,Friends from College,(2017– ),6.8,"
Comedy, Drama            ",http://www.imdb.com/title/tt5565334/?ref_=adv_li_tt,"13,110",74,0,1,1,0,0,0,0,0
79,Mary Poppins Returns,(2018),7.2,"
Comedy, Family, Fantasy            ",http://www.imdb.com/title/tt5028340/?ref_=adv_li_tt,"32,101",75,0,0,1,0,0,0,0,0
80,A Simple Favor,(2018),6.9,"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt7040874/?ref_=adv_li_tt,"65,826",76,0,1,1,0,0,0,0,0
81,Modern Family,(2009– ),8.4,"
Comedy, Romance            ",http://www.imdb.com/title/tt1442437/?ref_=adv_li_tt,"305,551",77,0,0,1,0,0,0,0,0
82,A Series of Unfortunate Events,(2017–2019),7.9,"
Adventure, Comedy, Drama            ",http://www.imdb.com/title/tt4834206/?ref_=adv_li_tt,"44,700",78,1,1,1,0,0,0,0,0
86,Hotel Transylvania 3: Summer Vacation,(2018),6.3,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt5220122/?ref_=adv_li_tt,"35,688",79,1,0,1,1,0,0,0,0
88,Future Man,(2017– ),7.9,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt4975856/?ref_=adv_li_tt,"13,442",80,1,0,1,0,0,0,1,0
89,Deadpool 2,(2018),7.8,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt5463162/?ref_=adv_li_tt,"343,877",81,1,0,1,0,0,0,1,0
90,Schitt's Creek,(2015– ),8.1,"
Comedy            ",http://www.imdb.com/title/tt3526078/?ref_=adv_li_tt,"14,569",82,0,0,1,0,0,0,0,0
91,Crazy Rich Asians,(2018),7.0,"
Comedy, Romance            ",http://www.imdb.com/title/tt3104988/?ref_=adv_li_tt,"76,519",83,0,0,1,0,0,0,0,0
92,How I Met Your Mother,(2005–2014),8.3,"
Comedy, Romance            ",http://www.imdb.com/title/tt0460649/?ref_=adv_li_tt,"527,228",84,0,0,1,0,0,0,0,0
93,Aladdin,(2019),,"
Adventure, Comedy, Family            ",http://www.imdb.com/title/tt6139732/?ref_=adv_li_tt,,85,1,0,1,0,0,0,0,0
94,Stan & Ollie,(2018),7.6,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt3385524/?ref_=adv_li_tt,"5,645",86,0,1,1,0,0,0,0,0
95,Parks and Recreation,(2009–2015),8.6,"
Comedy            ",http://www.imdb.com/title/tt1266020/?ref_=adv_li_tt,"169,145",87,0,0,1,0,0,0,0,0
96,The Grinch,(2018),6.3,"
Animation, Comedy, Family            ",http://www.imdb.com/title/tt2709692/?ref_=adv_li_tt,"21,874",88,0,0,1,1,0,0,0,0
97,A Million Little Things,(2018– ),7.8,"
Comedy, Drama            ",http://www.imdb.com/title/tt7608248/?ref_=adv_li_tt,"3,882",89,0,1,1,0,0,0,0,0
98,Good Girls,(2018– ),7.9,"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt6474378/?ref_=adv_li_tt,"11,009",90,0,1,1,0,0,0,0,0
99,Letterkenny,(2016– ),8.4,"
Comedy            ",http://www.imdb.com/title/tt4647692/?ref_=adv_li_tt,"4,876",91,0,0,1,0,0,0,0,0
101,Glass,(2019),7.0,"
Drama, Sci-Fi, Thriller            ",http://www.imdb.com/title/tt6823368/?ref_=adv_li_tt,"56,379",92,0,1,0,0,0,1,0,0
104,True Detective,(2014– ),9.0,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt2356777/?ref_=adv_li_tt,"424,344",93,0,1,0,0,0,0,0,1
105,Bohemian Rhapsody,(2018),8.2,"
Biography, Drama, Music            ",http://www.imdb.com/title/tt1727824/?ref_=adv_li_tt,"231,256",94,0,1,0,0,0,0,0,0
107,You,(2018– ),8.0,"
Crime, Drama, Romance            ",http://www.imdb.com/title/tt7335184/?ref_=adv_li_tt,"40,680",95,0,1,0,0,0,0,0,0
108,I Am the Night,(2019– ),7.6,"
Drama, Mystery            ",http://www.imdb.com/title/tt7186588/?ref_=adv_li_tt,742,96,0,1,0,0,0,0,0,1
111,A Star Is Born,(2018),7.9,"
Drama, Music, Romance            ",http://www.imdb.com/title/tt1517451/?ref_=adv_li_tt,"168,167",97,0,1,0,0,0,0,0,0
113,Serenity,(2019),5.1,"
Drama, Thriller            ",http://www.imdb.com/title/tt6476140/?ref_=adv_li_tt,"2,774",98,0,1,0,0,0,1,0,0
114,Roma,(2018),8.0,"
Drama            ",http://www.imdb.com/title/tt6155172/?ref_=adv_li_tt,"68,106",99,0,1,0,0,0,0,0,0
117,The Walking Dead,(2010– ),8.3,"
Drama, Horror, Sci-Fi            ",http://www.imdb.com/title/tt1520211/?ref_=adv_li_tt,"770,086",100,0,1,0,0,0,0,0,0
118,Outlander,(2014– ),8.5,"
Drama, Fantasy, Romance            ",http://www.imdb.com/title/tt3006802/?ref_=adv_li_tt,"88,359",101,0,1,0,0,0,0,0,0
120,Widows,(2018),7.2,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt4218572/?ref_=adv_li_tt,"37,251",102,0,1,0,0,0,1,0,0
121,IO,(2019),4.7,"
Adventure, Drama, Romance            ",http://www.imdb.com/title/tt3256226/?ref_=adv_li_tt,"16,882",103,1,1,0,0,0,0,0,0
122,Joker,(2019),,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt7286456/?ref_=adv_li_tt,,104,0,1,0,0,0,1,0,0
123,Black Mirror,(2011– ),8.9,"
Drama, Sci-Fi, Thriller            ",http://www.imdb.com/title/tt2085059/?ref_=adv_li_tt,"288,030",105,0,1,0,0,0,1,0,0
124,Grey's Anatomy,(2005– ),7.6,"
Drama, Romance            ",http://www.imdb.com/title/tt0413573/?ref_=adv_li_tt,"206,088",106,0,1,0,0,0,0,0,0
127,Supernatural,(2005– ),8.5,"
Drama, Fantasy, Horror            ",http://www.imdb.com/title/tt0460681/?ref_=adv_li_tt,"345,088",107,0,1,0,0,0,0,0,0
128,Bird Box,(2018),6.7,"
Drama, Horror, Sci-Fi            ",http://www.imdb.com/title/tt2737304/?ref_=adv_li_tt,"175,464",108,0,1,0,0,0,0,0,0
130,American Crime Story,(2016– ),8.5,"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt2788432/?ref_=adv_li_tt,"62,798",109,0,1,0,0,0,0,0,0
131,BlacKkKlansman,(2018),7.5,"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt7349662/?ref_=adv_li_tt,"99,690",110,0,1,0,0,0,0,0,0
132,Riverdale,(2016– ),7.5,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt5420376/?ref_=adv_li_tt,"78,277",111,0,1,0,0,0,0,0,1
